iter	Passed	Remaining
0	14	13999
1	27	13481
2	36	12169
3	46	11688
4	56	11221
5	67	11106
6	77	10941
7	87	10864
8	97	10738
9	107	10609
10	117	10578
11	127	10498
12	137	10430
13	148	10423
14	157	10358
15	168	10339
16	178	10338
17	188	10277
18	198	10259
19	208	10239
20	219	10232
21	229	10216
22	239	10174
23	249	10162
24	260	10150
25	270	10125
26	280	10117
27	292	10144
28	301	10108
29	312	10117
30	322	10088
31	332	10071
32	344	10085
33	354	10073
34	364	10052
35	374	10036
36	384	10016
37	394	9995
38	405	9981
39	415	9981
40	426	9967
41	437	9980
42	447	9969
43	458	9955
44	468	9938
45	478	9932
46	489	9924
47	499	9908
48	509	9892
49	519	9873
50	530	9862
51	540	9849
52	550	9832
53	560	9827
54	571	9812
55	581	9795
56	591	9780
57	601	9767
58	611	9757
59	622	9745
60	632	9731
61	642	9723
62	652	9710
63	663	9697
64	673	9687
65	684	9680
66	694	9668
67	703	9645
68	714	9634
69	724	9625
70	734	9615
71	745	9606
72	755	9592
73	765	9579
74	776	9573
75	788	9580
76	797	9564
77	808	9552
78	818	9542
79	829	9536
80	839	9525
81	849	9509
82	860	9504
83	870	9492
84	881	9484
85	891	9472
86	901	9463
87	911	9449
88	922	9443
89	932	9430
90	942	9417
91	952	9402
92	962	9389
93	973	9386
94	983	9372
95	995	9369
96	1005	9358
97	1015	9348
98	1026	9338
99	1036	9329
100	1046	9319
101	1057	9307
102	1067	9295
103	1077	9284
104	1088	9274
105	1098	9267
106	1108	9254
107	1118	9241
108	1129	9229
109	1140	9226
110	1150	9214
111	1160	9203
112	1170	9189
113	1181	9180
114	1192	9173
115	1202	9163
116	1213	9154
117	1223	9144
118	1237	9162
119	1247	9151
120	1259	9146
121	1269	9135
122	1282	9144
123	1293	9137
124	1303	9121
125	1313	9110
126	1323	9097
127	1337	9110
128	1347	9098
129	1357	9085
130	1368	9074
131	1378	9062
132	1388	9054
133	1399	9046
134	1410	9034
135	1420	9023
136	1431	9015
137	1442	9007
138	1452	8994
139	1461	8979
140	1472	8970
141	1483	8960
142	1493	8948
143	1503	8938
144	1513	8926
145	1525	8924
146	1536	8916
147	1546	8903
148	1556	8891
149	1567	8882
150	1578	8872
151	1588	8860
152	1598	8848
153	1608	8838
154	1619	8827
155	1629	8817
156	1639	8804
157	1650	8794
158	1660	8784
159	1671	8773
160	1681	8763
161	1691	8752
162	1702	8739
163	1712	8730
164	1723	8721
165	1739	8741
166	1749	8728
167	1760	8717
168	1770	8704
169	1780	8692
170	1791	8682
171	1801	8671
172	1811	8659
173	1821	8647
174	1832	8640
175	1843	8628
176	1853	8617
177	1863	8605
178	1874	8599
179	1885	8588
180	1895	8575
181	1905	8563
182	1915	8552
183	1926	8542
184	1935	8527
185	1946	8518
186	1957	8508
187	1967	8495
188	1977	8485
189	1987	8472
190	1998	8464
191	2008	8452
192	2018	8441
193	2029	8433
194	2039	8421
195	2050	8411
196	2060	8399
197	2070	8386
198	2080	8374
199	2091	8367
200	2102	8357
201	2112	8345
202	2122	8332
203	2132	8320
204	2142	8306
205	2152	8296
206	2162	8283
207	2172	8272
208	2182	8260
209	2192	8247
210	2202	8234
211	2212	8223
212	2222	8212
213	2230	8193
214	2241	8185
215	2252	8174
216	2262	8164
217	2273	8156
218	2283	8143
219	2294	8133
220	2309	8141
221	2318	8126
222	2330	8121
223	2340	8109
224	2350	8097
225	2361	8086
226	2371	8074
227	2381	8062
228	2392	8054
229	2402	8043
230	2412	8029
231	2421	8017
232	2432	8006
233	2442	7996
234	2452	7984
235	2462	7973
236	2473	7961
237	2483	7951
238	2493	7938
239	2503	7928
240	2513	7915
241	2525	7910
242	2535	7898
243	2545	7887
244	2556	7877
245	2572	7883
246	2582	7871
247	2592	7860
248	2602	7848
249	2617	7851
250	2627	7839
251	2636	7826
252	2647	7816
253	2658	7807
254	2669	7799
255	2680	7789
256	2690	7777
257	2700	7766
258	2711	7758
259	2722	7748
260	2733	7739
261	2742	7726
262	2753	7714
263	2763	7704
264	2773	7692
265	2783	7681
266	2793	7669
267	2803	7658
268	2814	7647
269	2824	7635
270	2834	7626
271	2845	7614
272	2854	7602
273	2865	7592
274	2875	7579
275	2885	7569
276	2895	7557
277	2905	7546
278	2916	7536
279	2928	7529
280	2941	7526
281	2950	7513
282	2960	7500
283	2971	7490
284	2980	7477
285	2990	7467
286	3001	7456
287	3011	7444
288	3021	7433
289	3031	7422
290	3042	7411
291	3052	7400
292	3062	7388
293	3071	7376
294	3081	7364
295	3092	7355
296	3102	7344
297	3112	7332
298	3122	7320
299	3132	7308
300	3141	7296
301	3152	7285
302	3162	7275
303	3172	7263
304	3182	7251
305	3192	7240
306	3202	7229
307	3213	7218
308	3223	7207
309	3233	7196
310	3243	7184
311	3252	7172
312	3263	7162
313	3273	7150
314	3283	7140
315	3293	7129
316	3303	7118
317	3314	7107
318	3324	7098
319	3334	7085
320	3345	7075
321	3355	7065
322	3365	7053
323	3375	7043
324	3385	7031
325	3395	7019
326	3405	7007
327	3414	6996
328	3427	6989
329	3436	6977
330	3447	6966
331	3456	6955
332	3467	6944
333	3477	6934
334	3487	6922
335	3497	6910
336	3507	6901
337	3518	6891
338	3528	6880
339	3538	6869
340	3548	6858
341	3558	6847
342	3568	6835
343	3578	6824
344	3588	6812
345	3598	6801
346	3608	6790
347	3620	6782
348	3630	6771
349	3640	6760
350	3650	6750
351	3660	6739
352	3670	6728
353	3680	6716
354	3690	6704
355	3701	6695
356	3711	6684
357	3724	6678
358	3734	6667
359	3743	6655
360	3753	6644
361	3763	6633
362	3773	6622
363	3784	6611
364	3793	6600
365	3803	6588
366	3813	6577
367	3823	6566
368	3834	6556
369	3843	6544
370	3853	6533
371	3864	6523
372	3874	6512
373	3884	6501
374	3894	6490
375	3904	6479
376	3913	6467
377	3924	6457
378	3934	6447
379	3945	6437
380	3955	6426
381	3965	6415
382	3975	6404
383	3986	6394
384	3996	6383
385	4006	6372
386	4017	6363
387	4027	6352
388	4037	6341
389	4047	6330
390	4056	6318
391	4067	6308
392	4076	6296
393	4086	6286
394	4096	6274
395	4106	6262
396	4116	6252
397	4126	6241
398	4137	6231
399	4147	6220
400	4157	6209
401	4166	6198
402	4177	6188
403	4187	6177
404	4197	6166
405	4207	6155
406	4217	6145
407	4227	6134
408	4237	6123
409	4248	6113
410	4258	6103
411	4269	6092
412	4279	6081
413	4289	6071
414	4299	6060
415	4309	6049
416	4323	6044
417	4333	6033
418	4343	6022
419	4353	6011
420	4363	6001
421	4374	5991
422	4383	5979
423	4393	5968
424	4403	5958
425	4414	5947
426	4424	5937
427	4435	5927
428	4445	5916
429	4454	5904
430	4464	5894
431	4474	5883
432	4486	5874
433	4496	5863
434	4506	5852
435	4517	5844
436	4527	5833
437	4537	5822
438	4547	5811
439	4557	5800
440	4567	5790
441	4577	5779
442	4587	5768
443	4598	5758
444	4608	5747
445	4618	5737
446	4628	5726
447	4638	5714
448	4648	5704
449	4658	5693
450	4668	5682
451	4678	5672
452	4688	5661
453	4698	5650
454	4709	5641
455	4719	5630
456	4729	5619
457	4738	5608
458	4749	5597
459	4759	5587
460	4770	5577
461	4780	5566
462	4790	5555
463	4800	5545
464	4810	5534
465	4820	5524
466	4830	5513
467	4841	5503
468	4850	5492
469	4861	5481
470	4871	5470
471	4881	5460
472	4891	5449
473	4901	5439
474	4911	5428
475	4921	5418
476	4931	5407
477	4941	5396
478	4952	5386
479	4962	5375
480	4972	5365
481	4982	5354
482	4993	5344
483	5003	5334
484	5013	5323
485	5024	5313
486	5033	5302
487	5044	5292
488	5054	5281
489	5064	5270
490	5074	5260
491	5084	5250
492	5095	5239
493	5104	5228
494	5115	5218
495	5125	5207
496	5135	5197
497	5146	5187
498	5155	5176
499	5166	5166
500	5176	5155
501	5187	5145
502	5197	5135
503	5207	5125
504	5218	5114
505	5227	5103
506	5237	5093
507	5248	5083
508	5258	5072
509	5270	5063
510	5280	5053
511	5290	5042
512	5300	5032
513	5310	5021
514	5321	5011
515	5331	5001
516	5341	4990
517	5351	4979
518	5362	4969
519	5372	4959
520	5383	4949
521	5393	4938
522	5403	4927
523	5413	4917
524	5423	4906
525	5433	4896
526	5442	4885
527	5453	4874
528	5463	4864
